,♙,♘,♗,♕,♖
a1,0,0.0269327723128826,0.00104097783655795,0.00201421296755982,0.00622540174944341
b1,0,0.0151311258947581,0.00183451012180294,0.00213241795391897,0.0063942262036656
c1,0,0.038058414359091,0.00226540668529619,0.00724832976354275,0.00940141179449843
d1,0,0.0540487607639481,0.00193263508180635,0.00350359579568505,0.044221455477826
e1,0,0.042354516909586,0.00191130356876213,0.00259105330099245,0.0101083641965539
f1,0,0.0269327723128826,0.00251285223660914,0.00991030605635068,0.00857839258016524
g1,0,0.00751186166549787,0.00122442884873824,0.00105911667777794,0.00461101790594368
h1,0,0.011523663311916,0.000456494379146313,0.000638306926339381,0.00338704061283277
a2,0.0107088700537918,0.00718333617634237,0.00113483649395252,0.00217497174900826,0.00223692401844407
b2,0.0146977605388753,0.00885755261146175,0.00208195567311589,0.00869043059712431,0.0070484209637766
c2,0.00702964133505722,0.016325189691881,0.00354103116534056,0.00519156300089363,0.013928017473331
d2,0.00156267458379224,0.0210572202952939,0.0166641779901448,0.0227993777689518,0.0289111877855507
e2,0.00217561333780268,0.0175066178932671,0.0108193434160285,0.0184825316671158,0.022158209616663
f2,0.0102268192628773,0.0146762444482351,0.00471426438277267,0.0067565970202887,0.0144133877792198
g2,0.00808951459720027,0.00760031083565512,0.00199236331833017,0.0223927526158763,0.00859949563694301
h2,0.0067215757633801,0.00415079319952237,0.00130122229569743,0.00243502271899838,0.0025429183417218
a3,0.0111589969512682,0.00612826393232375,0.00292668358966702,0.00632633086994142,0.00489590917244363
b3,0.014964325049083,0.00780248036744312,0.0108150771134197,0.0122602211851705,0.0201850738079411
c3,0.0181583105875593,0.0147267868311821,0.0751125237313083,0.0408327304879029,0.0208709231532187
d3,0.0084023687528931,0.0164325922556434,0.0160754282301244,0.0390123736979721,0.0226013738089962
e3,0.00970645979983719,0.0158639904474896,0.0171761343032061,0.0361234438313546,0.0234454960801072
f3,0.0135596737378091,0.0120227693435176,0.0502911751530536,0.0400005673839345,0.0266953668238844
g3,0.0144471579753867,0.007126475995527,0.0106444250090659,0.0130545586935039,0.0152047524083864
h3,0.0097160369678686,0.00389808128478737,0.00303760745749696,0.00741854494389991,0.00432612663944372
a4,0.0173266931634982,0.00657050978311,0.00565285095671836,0.0044634202849213,0.00761820349677651
b4,0.0321329949400629,0.00746131928255087,0.00930053968728002,0.0140285677811033,0.0146138668186087
