X,Y,Value
0,0,0.00201421296755982
0,1,0.00217497174900826
0,2,0.00632633086994142
0,3,0.0044634202849213
0,4,0.0028605606698913
0,5,0.0117212064473728
0,6,0.00244920731736148
0,7,0.00220334094573445
1,0,0.00213241795391897
1,1,0.00869043059712431
1,2,0.0122602211851705
1,3,0.0140285677811033
1,4,0.0172201024128002
1,5,0.0101325314307059
1,6,0.0141893265625517
1,7,0.00186291058502012
2,0,0.00724832976354275
2,1,0.00519156300089363
2,2,0.0408327304879029
2,3,0.0269696496877024
2,4,0.027144593067514
2,5,0.0399438289904821
2,6,0.00420336931493118
2,7,0.0081797850560528
3,0,0.00350359579568505
3,1,0.0227993777689518
3,2,0.0390123736979721
3,3,0.0329697347952926
3,4,0.0410218584660775
3,5,0.03366005191563
3,6,0.0272060596604207
3,7,0.00417500011820499
4,0,0.00259105330099245
4,1,0.0184825316671158
4,2,0.0361234438313546
4,3,0.0328184324127529
4,4,0.0329460937980208
4,5,0.0353196499241124
4,6,0.0334094573445486
4,7,0.00304496044861156
5,0,0.00991030605635068
5,1,0.0067565970202887
5,2,0.0400005673839345
5,3,0.0256362974415713
5,4,0.026279332567365
5,5,0.0547951034766451
5,6,0.00704501718700502
5,7,0.0102270954197932
6,0,0.00105911667777794
6,1,0.0223927526158763
6,2,0.0130545586935039
6,3,0.0132815122673135
6,4,0.0217355328917195
6,5,0.0144162801363613
6,6,0.0251398364988629
6,7,0.000865260500148938
7,0,0.000638306926339381
7,1,0.00243502271899838
7,2,0.00741854494389991
7,3,0.00430738970292723
7,4,0.00340903180659773
7,5,0.0114422426795652
7,6,0.003593431585318
7,7,0.000633578726885015
