X,Y,Value
1,1,0.00104097783655795
1,2,0.00113483649395252
1,3,0.00292668358966702
1,4,0.00565285095671836
1,5,0.00437296017406515
1,6,0.00296508031314661
1,7,0.0011135049809083
1,8,0.000998314810469507
2,1,0.00183451012180294
2,2,0.00208195567311589
2,3,0.0108150771134197
2,4,0.00930053968728002
2,5,0.0117451310821477
2,6,0.00980822969773246
2,7,0.00247445551312955
2,8,0.00203929264702745
3,1,0.00226540668529619
3,2,0.00354103116534056
3,3,0.0751125237313083
3,4,0.0237974359521321
3,5,0.0255252885087139
3,6,0.0738795622773523
3,7,0.00385673755839502
3,8,0.003118667207065
4,1,0.00193263508180635
4,2,0.0166641779901448
4,3,0.0160754282301244
4,4,0.0749802683504341
4,5,0.0818532818532818
4,6,0.0162802107553489
4,7,0.0225986049190469
4,8,0.00198809701572133
5,1,0.00191130356876213
5,2,0.0108193434160285
5,3,0.0171761343032061
5,4,0.076870240406152
5,5,0.0858806715160306
5,6,0.0182128458371552
5,7,0.0131999402717635
5,8,0.00234220013225538
6,1,0.00251285223660914
6,2,0.00471426438277267
6,3,0.0502911751530536
6,4,0.0189893129119648
6,5,0.0211608609398665
6,6,0.0707352972546343
6,7,0.00659570383327289
6,8,0.0030802704835854
7,1,0.00122442884873824
7,2,0.00199236331833017
7,3,0.0106444250090659
7,4,0.0136393694404744
7,5,0.0156146675483692
7,6,0.0120480385673756
7,7,0.0025085859340003
7,8,0.00132255380874165
8,1,0.000456494379146313
8,2,0.00130122229569743
8,3,0.00303760745749696
8,4,0.00581070415324559
8,5,0.00585336717933403
8,6,0.00386100386100386
8,7,0.0018985046609356
8,8,0.000520488918278974
