X,Y,Value
a,1,0
b,1,0
c,1,0
d,1,0
e,1,0
f,1,0
g,1,0
h,1,0
a,2,0.0107088700537918
b,2,0.0146977605388753
c,2,0.00702964133505722
d,2,0.00156267458379224
e,2,0.00217561333780268
f,2,0.0102268192628773
g,2,0.00808951459720027
h,2,0.0067215757633801
a,3,0.0111589969512682
b,3,0.014964325049083
c,3,0.0181583105875593
d,3,0.0084023687528931
e,3,0.00970645979983719
f,3,0.0135596737378091
g,3,0.0144471579753867
h,3,0.0097160369678686
a,4,0.0173266931634982
b,4,0.0321329949400629
c,4,0.0476847196284059
d,4,0.104850835607911
e,4,0.0498475634088333
f,4,0.0287921594917716
g,4,0.0275535124263755
h,4,0.0147855512458299
a,5,0.0163450334402784
b,5,0.0330460182923909
c,5,0.0417963574837587
d,5,0.0964516592443614
e,5,0.0595731775447334
f,5,0.0300786923973248
g,5,0.028198375073824
h,5,0.0159858896391004
a,6,0.0117767242892943
b,6,0.0131925489632716
c,6,0.0174304458171719
d,6,0.0173985219237338
e,6,0.0192804354419065
f,6,0.0200130887963096
g,6,0.0189883318169484
h,6,0.0116809526089802
a,7,0.00997142811537295
b,7,0.0122268511867707
c,7,0.00671519098469249
d,7,0.00227936599147632
e,7,0.00294019058564383
f,7,0.0135069993136363
g,7,0.00846462034509729
h,7,0.00835927149675174
a,8,0
b,8,0
c,8,0
d,8,0
e,8,0
f,8,0
g,8,0
h,8,0
