X,Y,Value
a,1,0.0269327723128826
b,1,0.0151311258947581
c,1,0.038058414359091
d,1,0.0540487607639481
e,1,0.042354516909586
f,1,0.0269327723128826
g,1,0.00751186166549787
h,1,0.011523663311916
a,2,0.00718333617634237
b,2,0.00885755261146175
c,2,0.016325189691881
d,2,0.0210572202952939
e,2,0.0175066178932671
f,2,0.0146762444482351
g,2,0.00760031083565512
h,2,0.00415079319952237
a,3,0.00612826393232375
b,3,0.00780248036744312
c,3,0.0147267868311821
d,3,0.0164325922556434
e,3,0.0158639904474896
f,3,0.0120227693435176
g,3,0.007126475995527
h,3,0.00389808128478737
a,4,0.00657050978311
b,4,0.00746131928255087
c,4,0.013292646715061
d,4,0.0198442031045659
e,4,0.0156112785327546
f,4,0.00966623073861375
g,4,0.00627357328329637
h,4,0.004144475401654
a,5,0.00614721732592887
b,5,0.00722124296355262
c,5,0.0136401255978216
d,5,0.0198821098917761
e,5,0.0171085966275595
f,5,0.0093756120366685
g,5,0.00630516227263825
h,5,0.0044224585078625
a,6,0.00615985292166562
b,6,0.00694325985734412
c,6,0.0135200874383225
d,6,0.017234952584927
e,6,0.0155291471604657
f,6,0.0126482313324867
g,6,0.00782143376104825
h,6,0.00442877630573087
a,7,0.00811837026086187
b,7,0.00933770524945825
c,7,0.0161419735536981
d,7,0.0211962118483981
e,7,0.018144715477973
f,7,0.0168937915000347
g,7,0.00911026452619675
h,7,0.00552175533695975
a,8,0.0309951163422477
b,8,0.0157818590752007
c,8,0.0393598807199762
d,8,0.0603096984515077
e,8,0.0448500470675941
f,8,0.0285122217799764
g,8,0.00791620072907387
h,8,0.0127050915133021
