"","Var1","Var2","Value"
"1","a",1,244
"2","b",1,430
"3","c",1,531
"4","d",1,453
"5","e",1,448
"6","f",1,589
"7","g",1,287
"8","h",1,107
"9","a",2,266
"10","b",2,488
"11","c",2,830
"12","d",2,3906
"13","e",2,2536
"14","f",2,1105
"15","g",2,467
"16","h",2,305
"17","a",3,686
"18","b",3,2535
"19","c",3,17606
"20","d",3,3768
"21","e",3,4026
"22","f",3,11788
"23","g",3,2495
"24","h",3,712
"25","a",4,1325
"26","b",4,2180
"27","c",4,5578
"28","d",4,17575
"29","e",4,18018
"30","f",4,4451
"31","g",4,3197
"32","h",4,1362
"33","a",5,1025
"34","b",5,2753
"35","c",5,5983
"36","d",5,19186
"37","e",5,20130
"38","f",5,4960
"39","g",5,3660
"40","h",5,1372
"41","a",6,695
"42","b",6,2299
"43","c",6,17317
"44","d",6,3816
"45","e",6,4269
"46","f",6,16580
"47","g",6,2824
"48","h",6,905
"49","a",7,261
"50","b",7,580
"51","c",7,904
"52","d",7,5297
"53","e",7,3094
"54","f",7,1546
"55","g",7,588
"56","h",7,445
"57","a",8,234
"58","b",8,478
"59","c",8,731
"60","d",8,466
"61","e",8,549
"62","f",8,722
"63","g",8,310
"64","h",8,122
