"","Var1","Var2","Value"
"1","a",1,0
"2","b",1,0
"3","c",1,0
"4","d",1,0
"5","e",1,0
"6","f",1,0
"7","g",1,0
"8","h",1,0
"9","a",2,6709
"10","b",2,9208
"11","c",2,4404
"12","d",2,979
"13","e",2,1363
"14","f",2,6407
"15","g",2,5068
"16","h",2,4211
"17","a",3,6991
"18","b",3,9375
"19","c",3,11376
"20","d",3,5264
"21","e",3,6081
"22","f",3,8495
"23","g",3,9051
"24","h",3,6087
"25","a",4,10855
"26","b",4,20131
"27","c",4,29874
"28","d",4,65688
"29","e",4,31229
"30","f",4,18038
"31","g",4,17262
"32","h",4,9263
"33","a",5,10240
"34","b",5,20703
"35","c",5,26185
"36","d",5,60426
"37","e",5,37322
"38","f",5,18844
"39","g",5,17666
"40","h",5,10015
"41","a",6,7378
"42","b",6,8265
"43","c",6,10920
"44","d",6,10900
"45","e",6,12079
"46","f",6,12538
"47","g",6,11896
"48","h",6,7318
"49","a",7,6247
"50","b",7,7660
"51","c",7,4207
"52","d",7,1428
"53","e",7,1842
"54","f",7,8462
"55","g",7,5303
"56","h",7,5237
"57","a",8,0
"58","b",8,0
"59","c",8,0
"60","d",8,0
"61","e",8,0
"62","f",8,0
"63","g",8,0
"64","h",8,0
