"","Var1","Var2","Value"
"1","a",1,590
"2","b",1,606
"3","c",1,891
"4","d",1,4191
"5","e",1,958
"6","f",1,813
"7","g",1,437
"8","h",1,321
"9","a",2,212
"10","b",2,668
"11","c",2,1320
"12","d",2,2740
"13","e",2,2100
"14","f",2,1366
"15","g",2,815
"16","h",2,241
"17","a",3,464
"18","b",3,1913
"19","c",3,1978
"20","d",3,2142
"21","e",3,2222
"22","f",3,2530
"23","g",3,1441
"24","h",3,410
"25","a",4,722
"26","b",4,1385
"27","c",4,1741
"28","d",4,4116
"29","e",4,2665
"30","f",4,1892
"31","g",4,1442
"32","h",4,582
"33","a",5,720
"34","b",5,1309
"35","c",5,1979
"36","d",5,3581
"37","e",5,2923
"38","f",5,1875
"39","g",5,1876
"40","h",5,708
"41","a",6,519
"42","b",6,2245
"43","c",6,1707
"44","d",6,2455
"45","e",6,1927
"46","f",6,2682
"47","g",6,1296
"48","h",6,484
"49","a",7,352
"50","b",7,718
"51","c",7,1541
"52","d",7,2246
"53","e",7,2291
"54","f",7,1250
"55","g",7,907
"56","h",7,282
"57","a",8,633
"58","b",8,724
"59","c",8,1033
"60","d",8,5616
"61","e",8,1153
"62","f",8,961
"63","g",8,490
"64","h",8,376
