"","Var1","Var2","Value"
"1","a",1,4263
"2","b",1,2395
"3","c",1,6024
"4","d",1,8555
"5","e",1,6704
"6","f",1,4263
"7","g",1,1189
"8","h",1,1824
"9","a",2,1137
"10","b",2,1402
"11","c",2,2584
"12","d",2,3333
"13","e",2,2771
"14","f",2,2323
"15","g",2,1203
"16","h",2,657
"17","a",3,970
"18","b",3,1235
"19","c",3,2331
"20","d",3,2601
"21","e",3,2511
"22","f",3,1903
"23","g",3,1128
"24","h",3,617
"25","a",4,1040
"26","b",4,1181
"27","c",4,2104
"28","d",4,3141
"29","e",4,2471
"30","f",4,1530
"31","g",4,993
"32","h",4,656
"33","a",5,973
"34","b",5,1143
"35","c",5,2159
"36","d",5,3147
"37","e",5,2708
"38","f",5,1484
"39","g",5,998
"40","h",5,700
"41","a",6,975
"42","b",6,1099
"43","c",6,2140
"44","d",6,2728
"45","e",6,2458
"46","f",6,2002
"47","g",6,1238
"48","h",6,701
"49","a",7,1285
"50","b",7,1478
"51","c",7,2555
"52","d",7,3355
"53","e",7,2872
"54","f",7,2674
"55","g",7,1442
"56","h",7,874
"57","a",8,4906
"58","b",8,2498
"59","c",8,6230
"60","d",8,9546
"61","e",8,7099
"62","f",8,4513
"63","g",8,1253
"64","h",8,2011
